pulled_at,recorded_at,vehicle_ref,route_number,operator_ref,latitude,longitude,bearing
2026-07-20T14:07:09.895+05:45,2026-07-20T02:08:59.000+05:45,1782,16,WDBC,50.717903,-1.978009,
2026-07-20T14:21:16.548+05:45,2026-07-20T20:06:06.000+05:45,7925,MHDRT,SWWD,51.367439,-1.55726,213
2026-07-20T14:04:24.068+05:45,2026-07-20T19:49:11.000+05:45,1240,18,BLUS,50.903616,-1.402843,0
2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:28.000+05:45,2772,1,TDTR,51.557776,-1.82416,245
2026-07-20T13:48:21.594+05:45,2026-07-20T13:06:42.000+05:45,1530,B,WDBC,50.747156,-1.722612,233
2026-07-20T14:37:16.190+05:45,2026-07-20T20:22:09.000+05:45,1706,50,WDBC,50.683356,-1.948543,
2026-07-20T13:48:54.550+05:45,2026-07-20T19:33:45.000+05:45,1342,8,SVCT,50.723253,-1.138493,104
2026-07-20T13:56:55.713+05:45,2026-07-20T19:41:48.000+05:45,1236,16,BLUS,50.932277,-1.36212,149
2026-07-20T14:33:41.663+05:45,2026-07-20T20:18:20.000+05:45,1524,30,WDBC,50.686882,-2.208836,89
2026-07-20T13:58:51.599+05:45,2026-07-20T19:43:22.000+05:45,1683,6,WDBC,50.744542,-1.900094,295
2026-07-20T14:10:45.897+05:45,2026-07-20T19:55:27.000+05:45,1623,81,WDBC,50.725695,-1.589933,53
2026-07-20T14:12:08.896+05:45,2026-07-20T19:37:05.000+05:45,3835,R14,SWWD,51.055247,-1.807559,
2026-07-20T14:09:06.099+05:45,2026-07-20T11:26:56.000+05:45,2719,PR3,SWWD,51.069642,-1.795234,94
2026-07-20T14:27:05.255+05:45,2026-07-20T20:12:00.000+05:45,223,13,BLUS,50.899703,-1.37276,277
2026-07-20T14:39:11.719+05:45,2026-07-20T20:05:01.000+05:45,2265,9,WDBC,50.717994,-1.977733,
2026-07-20T14:04:07.496+05:45,2026-07-20T19:48:58.000+05:45,1410,20,WDBC,50.733995,-1.766887,
2026-07-20T13:53:53.476+05:45,2026-07-20T19:38:35.000+05:45,1552,17,BLUS,50.934981,-1.464078,155
2026-07-20T14:07:59.661+05:45,2026-07-20T17:47:45.000+05:45,1515,7,SVCT,50.698063,-1.294334,
2026-07-20T14:03:50.743+05:45,2026-07-20T19:48:37.000+05:45,1521,3,SVCT,50.69804,-1.294436,
2026-07-20T13:52:30.529+05:45,2026-07-20T19:37:19.000+05:45,1737,5,WDBC,50.749059,-1.877383,
2026-07-20T14:35:53.342+05:45,2026-07-20T20:20:47.000+05:45,1637,X7,SWWD,50.948165,-1.551874,
2026-07-20T14:06:53.175+05:45,2026-07-20T19:51:41.000+05:45,106,120,TDTR,51.420759,-1.731055,
2026-07-20T14:02:11.407+05:45,2026-07-20T19:10:10.000+05:45,1525,30,WDBC,50.612678,-2.453447,
2026-07-20T13:58:18.490+05:45,2026-07-20T19:42:53.000+05:45,1651,7,SVCT,50.698047,-1.294123,258
2026-07-20T14:02:44.584+05:45,2026-07-20T19:47:32.000+05:45,1222,U6H,UNIL,50.938359,-1.392812,260
2026-07-20T14:02:27.965+05:45,2026-07-20T19:47:08.000+05:45,1729,m1,WDBC,50.723313,-1.90425,106
2026-07-20T14:14:54.990+05:45,2026-07-20T19:59:31.000+05:45,109,36,WDBC,50.735147,-1.908718,
2026-07-20T14:29:50.987+05:45,2026-07-20T20:14:35.000+05:45,2773,5,TDTR,51.555227,-1.747773,62
2026-07-20T14:25:08.856+05:45,2026-07-20T20:10:01.000+05:45,1632,538,BLUS,50.890005,-1.452537,68
2026-07-20T14:22:55.935+05:45,2026-07-20T20:07:46.000+05:45,1215,U1C,UNIL,50.920567,-1.404706,169
2026-07-20T14:30:23.803+05:45,2026-07-20T12:46:47.000+05:45,1644,538,BLUS,50.861019,-1.430722,
2026-07-20T13:57:28.698+05:45,2026-07-20T19:22:41.000+05:45,1270,24,BLUS,50.969557,-1.351929,16
2026-07-20T14:04:40.663+05:45,2026-07-20T17:19:56.000+05:45,1209,U1C,UNIL,50.90092,-1.404667,
2026-07-20T14:04:07.496+05:45,2026-07-20T19:02:31.000+05:45,1114,CR8,DAMY,50.851754,-2.164059,314
2026-07-20T14:19:36.738+05:45,2026-07-20T20:04:13.000+05:45,1303,5,SVCT,50.698118,-1.294348,
2026-07-20T14:35:53.342+05:45,2026-07-20T20:20:45.000+05:45,1735,m1,WDBC,50.718073,-1.978812,
