disruption_id,operator_ref,route_number,start_time,end_time,duration_minutes,reason,severity,description
DIS-683207,SVCT,205,2026-07-16T05:48:28.000+05:45,2026-07-16T08:56:28.000+05:45,188,Accident on route,high,Accident on route affecting line 205 (high severity)
DIS-387401,BLUS,538,2026-04-26T01:35:40.000+05:45,2026-04-26T03:54:40.000+05:45,139,Road closure,medium,Road closure affecting line 538 (medium severity)
DIS-888313,WDBC,82,2026-06-25T03:43:55.000+05:45,2026-06-25T04:17:55.000+05:45,34,Road closure,severe,Road closure affecting line 82 (severe severity)
DIS-638059,WDBC,RG2,2026-06-23T19:07:14.000+05:45,2026-06-23T22:50:14.000+05:45,223,Roadworks,low,Roadworks affecting line RG2 (low severity)
DIS-267101,UNIL,U6C,2026-05-18T21:17:49.000+05:45,2026-05-19T01:13:49.000+05:45,236,Roadworks,low,Roadworks affecting line U6C (low severity)
DIS-213233,SWWD,908,2026-07-03T08:48:29.000+05:45,2026-07-03T10:11:29.000+05:45,83,Planned engineering works,severe,Planned engineering works affecting line 908 (severe severity)
DIS-116159,WDBC,NFR,2026-05-05T00:53:04.000+05:45,2026-05-05T02:10:04.000+05:45,77,Roadworks,severe,Roadworks affecting line NFR (severe severity)
DIS-528742,WDBC,193,2026-07-17T20:48:00.000+05:45,2026-07-17T21:55:00.000+05:45,67,Road closure,high,Road closure affecting line 193 (high severity)
DIS-975144,BLUS,3,2026-06-28T02:49:19.000+05:45,2026-06-28T04:35:19.000+05:45,106,Road closure,medium,Road closure affecting line 3 (medium severity)
DIS-969143,UNIL,U1A,2026-05-10T07:03:49.000+05:45,2026-05-10T08:17:49.000+05:45,74,Vehicle breakdown,low,Vehicle breakdown affecting line U1A (low severity)
DIS-975958,WDBC,125,2026-07-15T17:06:07.000+05:45,2026-07-15T21:05:07.000+05:45,239,Vehicle breakdown,medium,Vehicle breakdown affecting line 125 (medium severity)
DIS-224109,BLUS,21,2026-04-23T11:14:01.000+05:45,2026-04-23T12:15:01.000+05:45,61,Road closure,medium,Road closure affecting line 21 (medium severity)
DIS-794233,TDTR,217,2026-06-15T07:16:42.000+05:45,2026-06-15T07:54:42.000+05:45,38,Planned engineering works,severe,Planned engineering works affecting line 217 (severe severity)
DIS-850585,TDTR,9,2026-05-13T13:44:46.000+05:45,2026-05-13T15:59:46.000+05:45,135,Severe weather,high,Severe weather affecting line 9 (high severity)
DIS-752349,BLUS,7,2026-07-17T08:30:11.000+05:45,2026-07-17T10:33:11.000+05:45,123,Vehicle breakdown,high,Vehicle breakdown affecting line 7 (high severity)
DIS-173815,WDBC,5,2026-04-21T20:50:13.000+05:45,2026-04-21T22:59:13.000+05:45,129,Severe weather,high,Severe weather affecting line 5 (high severity)
DIS-229085,SWWD,2A,2026-06-13T20:39:54.000+05:45,2026-06-13T22:17:54.000+05:45,98,Road closure,medium,Road closure affecting line 2A (medium severity)
DIS-857861,WDBC,3x,2026-05-14T17:42:03.000+05:45,2026-05-14T20:50:03.000+05:45,188,Planned engineering works,low,Planned engineering works affecting line 3x (low severity)
DIS-467086,WDBC,7A,2026-05-13T22:06:15.000+05:45,2026-05-14T01:02:15.000+05:45,176,Vehicle breakdown,severe,Vehicle breakdown affecting line 7A (severe severity)
DIS-946027,BLUS,503,2026-06-13T16:55:24.000+05:45,2026-06-13T20:50:24.000+05:45,235,Planned engineering works,severe,Planned engineering works affecting line 503 (severe severity)
DIS-530785,TDTR,X76,2026-05-17T21:14:43.000+05:45,2026-05-18T01:08:43.000+05:45,234,Planned engineering works,severe,Planned engineering works affecting line X76 (severe severity)
DIS-481272,TDTR,13,2026-07-10T21:17:51.000+05:45,2026-07-10T23:11:51.000+05:45,114,Diversion,medium,Diversion affecting line 13 (medium severity)
DIS-956037,DAMY,CR9,2026-06-28T16:52:21.000+05:45,2026-06-28T18:48:21.000+05:45,116,Traffic congestion,medium,Traffic congestion affecting line CR9 (medium severity)
DIS-256108,WDBC,11,2026-05-03T06:22:30.000+05:45,2026-05-03T07:51:30.000+05:45,89,Accident on route,low,Accident on route affecting line 11 (low severity)
DIS-359324,WDBC,86,2026-06-05T06:17:01.000+05:45,2026-06-05T07:07:01.000+05:45,50,Severe weather,high,Severe weather affecting line 86 (high severity)
DIS-361730,SVCT,TSS,2026-04-25T03:53:44.000+05:45,2026-04-25T04:08:44.000+05:45,15,Road closure,severe,Road closure affecting line TSS (severe severity)
DIS-276404,SWWD,R5,2026-06-30T19:19:23.000+05:45,2026-06-30T21:25:23.000+05:45,126,Planned engineering works,severe,Planned engineering works affecting line R5 (severe severity)
DIS-888418,SWWD,37,2026-07-14T01:46:12.000+05:45,2026-07-14T05:40:12.000+05:45,234,Vehicle breakdown,low,Vehicle breakdown affecting line 37 (low severity)
DIS-631121,SWWD,R2,2026-07-08T13:51:15.000+05:45,2026-07-08T15:16:15.000+05:45,85,Severe weather,low,Severe weather affecting line R2 (low severity)
DIS-181940,WDBC,NFR,2026-05-01T21:17:50.000+05:45,2026-05-01T21:48:50.000+05:45,31,Driver shortage,low,Driver shortage affecting line NFR (low severity)
DIS-811394,SWWD,R6,2026-04-28T05:04:25.000+05:45,2026-04-28T06:01:25.000+05:45,57,Vehicle breakdown,severe,Vehicle breakdown affecting line R6 (severe severity)
DIS-288379,WDBC,A,2026-05-28T03:45:57.000+05:45,2026-05-28T06:06:57.000+05:45,141,Driver shortage,high,Driver shortage affecting line A (high severity)
DIS-368780,SVCT,TNB,2026-05-12T02:17:14.000+05:45,2026-05-12T05:11:14.000+05:45,174,Roadworks,medium,Roadworks affecting line TNB (medium severity)
DIS-836920,WDBC,777,2026-07-15T07:42:54.000+05:45,2026-07-15T10:16:54.000+05:45,154,Roadworks,high,Roadworks affecting line 777 (high severity)
DIS-111238,SVCT,37,2026-07-18T10:37:56.000+05:45,2026-07-18T11:56:56.000+05:45,79,Diversion,high,Diversion affecting line 37 (high severity)
DIS-450446,BLUS,2,2026-06-12T05:16:17.000+05:45,2026-06-12T05:58:17.000+05:45,42,Roadworks,medium,Roadworks affecting line 2 (medium severity)
DIS-494290,WDBC,3,2026-05-19T11:26:35.000+05:45,2026-05-19T13:35:35.000+05:45,129,Accident on route,severe,Accident on route affecting line 3 (severe severity)
DIS-538303,UNIL,U2B,2026-05-30T04:07:46.000+05:45,2026-05-30T05:28:46.000+05:45,81,Roadworks,high,Roadworks affecting line U2B (high severity)
DIS-548345,SVCT,6,2026-05-03T22:25:58.000+05:45,2026-05-03T22:44:58.000+05:45,19,Planned engineering works,high,Planned engineering works affecting line 6 (high severity)
DIS-290988,SVCT,5,2026-06-25T23:39:56.000+05:45,2026-06-26T01:36:56.000+05:45,117,Vehicle breakdown,low,Vehicle breakdown affecting line 5 (low severity)
DIS-589770,WDBC,7A,2026-05-10T07:17:54.000+05:45,2026-05-10T08:44:54.000+05:45,87,Accident on route,severe,Accident on route affecting line 7A (severe severity)
DIS-753833,TDTR,217,2026-05-28T15:20:43.000+05:45,2026-05-28T15:57:43.000+05:45,37,Severe weather,high,Severe weather affecting line 217 (high severity)
DIS-638287,BLUS,21,2026-07-19T05:05:12.000+05:45,2026-07-19T08:20:12.000+05:45,195,Planned engineering works,high,Planned engineering works affecting line 21 (high severity)
DIS-999155,SWWD,37,2026-05-16T17:25:21.000+05:45,2026-05-16T20:27:21.000+05:45,182,Vehicle breakdown,high,Vehicle breakdown affecting line 37 (high severity)
DIS-393880,TDTR,21,2026-07-15T05:53:26.000+05:45,2026-07-15T09:27:26.000+05:45,214,Accident on route,high,Accident on route affecting line 21 (high severity)
DIS-930521,WDBC,U3,2026-04-25T09:59:53.000+05:45,2026-04-25T12:23:53.000+05:45,144,Planned engineering works,low,Planned engineering works affecting line U3 (low severity)
