source_file,operator_ref,operator_name,line_name,line_description,price_id,amount_gbp
WDBC_1837_Inbound_AdultSingle_d46597a9-440e-4c13-b49a-76a3986683d1_639196381887430945.xml,WDBC,Go South Coast,Go South Coast 1837 Inbound,Bournemouth - Bournemouth International Airport,price_band_1.0@AdultSingle,1.0
SVCT_5103_Inbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196404820493850.xml,SVCT,Go South Coast,Go South Coast 5103 Inbound,Ryde  - Newport,price_band_3.0@AdultSingle,3.0
WDBC_1060_Outbound_ChildSingle_2f1f0c04-770d-4707-ab06-213c5a798ad7_639196376897039591.xml,WDBC,Go South Coast,Go South Coast 1060 Outbound,Rockley - Sandbanks,price_band_1.0@ChildSingle,1.0
SWWD_3310_Outbound_ChildSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196394679555465.xml,SWWD,Go South Coast,Go South Coast 3310 Outbound,City Centre - St Peters Place,price_band_2.3@ChildSingle,2.3
SWWD_3012_Outbound_ChildSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196391261818004.xml,SWWD,Go South Coast,Go South Coast 3012 Outbound,Salisbury - Stratford,price_band_2.3@ChildSingle,2.3
WDBC_1170_Inbound_AdultReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196378157465562.xml,WDBC,Go South Coast,Go South Coast 1170 Inbound,Rockley Park - Hengistbury Head,price_band_4.5@AdultReturn,4.5
WDBC_8229_Outbound_AdultSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196410358482826.xml,WDBC,Go South Coast,Go South Coast 8229 Outbound,Lyndhurst - Ringwood RED,price_band_6.0@AdultSingle,6.0
SWWD_3372_Outbound_ChildReturn_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196395811064081.xml,SWWD,Go South Coast,Go South Coast 3372 Outbound,City Centre - Bishopdown,price_band_3.6@ChildReturn,3.6
SWWD_3405_Inbound_ChildSingle_a9f4b9e2-e9ea-4456-80e3-47fe03b77367_639196396540600287.xml,SWWD,Go South Coast,Go South Coast 3405 Inbound,Salisbury - Pewsey,price_band_2.1@ChildSingle,2.1
WDBC_1040_Inbound_AdultSingle_2f1f0c04-770d-4707-ab06-213c5a798ad7_639196374975511293.xml,WDBC,Go South Coast,Go South Coast 1040 Inbound,Swanage - Poole,price_band_1.0@AdultSingle,1.0
