source_file,service_ref,line_ref,operator_ref,journey_code,departure_time,days_of_week,stop_count,route_number
BODS_PH1121126_195_20260830_124.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ384,2026-07-21T07:48:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,35,18
BODS_PH1121126_204_20260601_117.xml,PH1121126:204,BLUS:PH1121126:204:1,BLUS,VJ85,2026-07-21T12:30:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,42,1
BODS_PH1121126_195_20260718_122.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ526,2026-07-21T16:50:00.000+05:45,Sunday,35,18
BODS_PH1121126_506_20260830_118.xml,PH1121126:506,BLUS:PH1121126:506:19,BLUS,VJ259,2026-07-21T20:05:00.000+05:45,Sunday,52,19
BODS_PH1121126_237_20260412_115.xml,PH1121126:237,BLUS:PH1121126:237:QC,BLUS,VJ58,2026-07-21T15:50:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,6,QC
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ297,2026-07-21T13:05:00.000+05:45,Saturday,34,18
BODS_PH1121126_298_20260718_117.xml,PH1121126:298,BLUS:PH1121126:298:7,BLUS,VJ128,2026-07-21T13:10:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,61,7
BODS_UZ000BLUS_26_20260830_1.xml,UZ000BLUS:26,BLUS:UZ000BLUS:26:26,BLUS,VJ2,2026-07-21T10:25:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,41,26
BODS_PH1121126_575_20260830_20.xml,PH1121126:575,BLUS:PH1121126:575:PR1,BLUS,VJ102,2026-07-21T15:30:00.000+05:45,Saturday,2,PR1
BODS_PH1121126_195_20260830_124.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ109,2026-07-21T23:40:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,55,18
BODS_PH1121126_575_20260718_18.xml,PH1121126:575,BLUS:PH1121126:575:PR1,BLUS,VJ42,2026-07-21T07:40:00.000+05:45,Saturday,3,PR1
BODS_PH1121126_197_20260718_113.xml,PH1121126:197,BLUS:PH1121126:197:12,BLUS,VJ58,2026-07-21T15:00:00.000+05:45,Sunday,22,12
BODS_PH1121126_200_20260328_115.xml,PH1121126:200,BLUS:PH1121126:200:5,BLUS,VJ65,2026-07-21T13:05:00.000+05:45,Saturday,7,5
BODS_PH1121126_198_20260412_111.xml,PH1121126:198,BLUS:PH1121126:198:9,BLUS,VJ104,2026-07-21T21:10:00.000+05:45,Saturday,53,9
BODS_PH1121126_204_20260718_122.xml,PH1121126:204,BLUS:PH1121126:204:1,BLUS,VJ360,2026-07-21T20:50:00.000+05:45,Monday|Tuesday|Wednesday|Thursday|Friday,47,1
