operator_ref,route_number,pulled_at,recorded_at,vehicle_ref,latitude,longitude,bearing,avl_id,avl_time_of_day,source_file,service_ref,line_ref,journey_code,departure_time,days_of_week,stop_count,sched_time_of_day,time_diff,disruption_count,avg_disruption_duration,avg_fare_gbp
BLUS,20,2026-07-20T14:03:01.130+05:45,2026-07-20T19:47:38.000+05:45,253,50.90531,-1.406348,350,9,50558,BODS_PH1121126_507_20260718_108.xml,PH1121126:507,BLUS:PH1121126:507:20,VJ325,2026-07-21T19:55:00.000+05:45,Sunday,20,51000,442,9,136.88888888888889,2.940955284552847
SWWD,TPDRT,2026-07-20T13:53:03.793+05:45,2026-07-20T19:37:31.000+05:45,7930,51.277349,-1.687128,277,11,49951,,,,,,,,,,9,119.11111111111111,3.5063780260707635
SWWD,X7,2026-07-20T14:19:03.545+05:45,2026-07-20T19:48:49.000+05:45,1330,51.07353,-1.795795,,22,50629,,,,,,,,,,10,108.7,3.5063780260707635
WDBC,18,2026-07-20T13:47:48.689+05:45,2026-07-20T19:32:33.000+05:45,2264,50.735016,-1.951586,,32,49653,,,,,,,,,,13,142.6153846153846,3.1657190635451506
SWWD,X7,2026-07-20T14:30:56.689+05:45,2026-07-20T20:15:36.000+05:45,1641,50.9065,-1.406682,,36,52236,,,,,,,,,,10,108.7,3.5063780260707635
UNIL,U1C,2026-07-20T14:05:46.677+05:45,2026-07-19T23:01:26.000+05:45,1207,50.899202,-1.401313,,40,62186,,,,,,,,,,20,114.0,1.630769230769231
WDBC,U1,2026-07-20T13:51:40.890+05:45,2026-07-20T19:36:16.000+05:45,1690,50.741936,-1.891179,309,43,49876,,,,,,,,,,10,129.4,3.1657190635451506
SVCT,TNB,2026-07-20T14:02:44.584+05:45,2026-07-20T19:47:16.000+05:45,1401,50.698172,-1.482052,186,49,50536,,,,,,,,,,15,149.13333333333333,3.074930362116992
SVCT,12,2026-07-20T14:22:55.935+05:45,2026-07-20T20:07:34.000+05:45,1648,50.698594,-1.294223,90,59,51754,,,,,,,,,,14,107.42857142857143,3.074930362116992
UNIL,U1A,2026-07-20T13:48:54.550+05:45,2026-07-20T19:33:45.000+05:45,1212,50.893524,-1.395148,,65,49725,,,,,,,,,,12,150.58333333333334,1.630769230769231
UNIL,U6H,2026-07-20T14:37:16.190+05:45,2026-07-20T13:48:34.000+05:45,1206,50.938535,-1.429147,,66,29014,,,,,,,,,,11,108.18181818181819,1.630769230769231
SWWD,R1,2026-07-20T14:32:02.837+05:45,2026-07-20T20:16:47.000+05:45,1333,51.064894,-1.793765,10,69,52307,,,,,,,,,,11,114.54545454545455,3.5063780260707635
WDBC,12,2026-07-20T14:09:39.353+05:45,2026-07-20T19:54:23.000+05:45,2282,50.750949,-1.845946,,75,50963,,,,,,,,,,6,84.0,3.1657190635451506
SWWD,906,2026-07-20T14:10:45.897+05:45,2026-07-20T19:55:27.000+05:45,1134,50.989946,-1.757309,163,76,51027,,,,,,,,,,17,142.52941176470588,3.5063780260707635
SWWD,PR3,2026-07-20T14:26:15.428+05:45,2026-07-20T20:11:00.000+05:45,901,51.068448,-1.795418,,90,51960,,,,,,,,,,11,94.9090909090909,3.5063780260707635
SVCT,12,2026-07-20T14:04:40.663+05:45,2026-07-20T19:49:16.000+05:45,1648,50.642039,-1.378386,100,95,50656,,,,,,,,,,14,107.42857142857143,3.074930362116992
WDBC,5,2026-07-20T14:09:56.012+05:45,2026-07-20T19:54:38.000+05:45,1738,50.760106,-1.90171,49,99,50978,,,,,,,,,,9,145.22222222222223,3.1657190635451506
SWWD,X5,2026-07-20T14:18:30.473+05:45,2026-07-20T20:03:20.000+05:45,1577,51.19774,-1.771375,160,102,51500,,,,,,,,,,11,153.9090909090909,3.5063780260707635
WDBC,3x,2026-07-20T14:25:25.565+05:45,2026-07-20T20:10:13.000+05:45,2277,50.746302,-1.98473,11,122,51913,,,,,,,,,,10,99.6,3.1657190635451506
SVCT,3,2026-07-20T14:32:35.623+05:45,2026-07-20T20:16:59.000+05:45,1511,50.595317,-1.205715,,129,52319,,,,,,,,,,8,128.875,3.074930362116992
WDBC,4,2026-07-20T14:01:05.161+05:45,2026-07-20T19:45:42.000+05:45,1541,50.747118,-1.722577,,138,50442,,,,,,,,,,12,159.08333333333334,3.1657190635451506
WDBC,35,2026-07-20T14:11:35.844+05:45,2026-07-20T19:56:19.000+05:45,1627,50.619077,-2.004344,121,141,51079,,,,,,,,,,11,92.45454545454545,3.1657190635451506
TDTR,1B,2026-07-20T14:36:59.541+05:45,2026-07-20T20:21:31.000+05:45,275,51.560473,-1.795788,64,142,52591,,,,,,,,,,8,116.0,3.189354473386184
SVCT,9,2026-07-20T14:25:42.139+05:45,2026-07-20T20:10:36.000+05:45,1321,50.728551,-1.175307,121,154,51936,,,,,,,,,,4,125.75,3.074930362116992
