route_number,operator_ref,mean_headway_seconds,stddev_headway_seconds,headway_regularity_pct,meets_regularity_threshold
1,BLUS,85.0909090909091,186.07916203985482,218.6827759015388,False
1,SVCT,201.42857142857142,943.593573085802,468.4507100425967,False
1,TDTR,60.0,0.0,0.0,True
10,BLUS,524.1509433962265,3379.0698731377506,644.6749577980589,False
10,WDBC,71.48936170212765,78.76709540886306,110.18016322073107,False
101,SWWD,61.15384615384615,8.320502943378436,13.60585386967543,True
11,BLUS,430.90909090909093,2560.340886394906,594.1719356612651,False
11,TDTR,60.0,0.0,0.0,True
11,WDBC,60.0,0.0,0.0,True
112,WDBC,64.0,15.491933384829666,24.206145913796355,False
119,WDBC,360.0,1034.942453643168,287.48401490087997,False
12,BLUS,110.18181818181819,364.0079919202574,330.3702896966032,False
12,SVCT,60.0,0.0,0.0,True
12,TDTR,60.0,0.0,0.0,True
12,WDBC,60.0,0.0,0.0,True
120,TDTR,60.0,0.0,0.0,True
120,WDBC,60.0,0.0,0.0,True
13,BLUS,1387.9245283018868,9667.436490708733,696.5390620004933,False
13,TDTR,60.0,0.0,0.0,True
13,WDBC,451.6363636363636,2904.4530074916465,643.0954726732712,False
13A,WDBC,1274.1818181818182,9004.613363059061,706.6976811761535,False
14,BLUS,84.44444444444444,179.6292478040997,212.71884608380228,False
14,TDTR,60.0,0.0,0.0,True
14,WDBC,60.0,0.0,0.0,True
15,BLUS,60.0,0.0,0.0,True
15,TDTR,60.0,0.0,0.0,True
15,WDBC,80.72727272727273,153.71756864161918,190.41590710110484,False
152,TDTR,1046.4,4284.929871071405,409.49253355040184,False
153,TDTR,60.0,0.0,0.0,True
154,TDTR,843.8709677419355,4364.40883925063,517.1891208592108,False
155,TDTR,772.9411764705883,4157.1257038544145,537.8320925839045,False
156,TDTR,881.3793103448276,4423.262955377377,501.8569080827227,False
158,TDTR,60.0,0.0,0.0,True
159,TDTR,730.2857142857143,3965.4637631862,543.0016890121948,False
16,BLUS,1297.090909090909,9174.511728399797,707.3144730333457,False
16,TDTR,216.0,697.6532089799343,322.9875967499696,False
16,WDBC,1239.622641509434,8587.782458072039,692.7739273634978,False
17,BLUS,61.111111111111114,8.164965809277257,13.360853142453694,True
17,TDTR,60.0,0.0,0.0,True
17,WDBC,216.0,1156.9269639869235,535.6143351791313,False
18,BLUS,1065.8181818181818,7459.3472782933095,699.8705225283726,False
18,WDBC,60.0,0.0,0.0,True
19,BLUS,1469.4545454545455,9454.90964333538,643.4298816919647,False
193,WDBC,60.0,0.0,0.0,True
19a,BLUS,83.77358490566037,173.07431057534814,206.59771307417682,False
1A,TDTR,413.3333333333333,2596.4591273501683,628.1755953266536,False
