source_file,service_ref,line_ref,operator_ref,journey_code,departure_time,days_of_week,stop_count
BODS_PH1121126_183_20260328_126.xml,PH1121126:183,BLUS:PH1121126:183:634,BLUS,VJ1,07:51:00,Monday|Tuesday|Wednesday|Thursday|Friday,30
BODS_PH1121126_183_20260328_126.xml,PH1121126:183,BLUS:PH1121126:183:634,BLUS,VJ2,15:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,29
BODS_PH1121126_183_20260718_129.xml,PH1121126:183,BLUS:PH1121126:183:634,BLUS,VJ1,07:51:00,Monday|Tuesday|Wednesday|Thursday|Friday,30
BODS_PH1121126_183_20260718_129.xml,PH1121126:183,BLUS:PH1121126:183:634,BLUS,VJ2,15:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,29
BODS_PH1121126_183_20260830_131.xml,PH1121126:183,BLUS:PH1121126:183:634,BLUS,VJ1,07:51:00,Monday|Tuesday|Wednesday|Thursday|Friday,30
BODS_PH1121126_183_20260830_131.xml,PH1121126:183,BLUS:PH1121126:183:634,BLUS,VJ2,15:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,29
BODS_PH1121126_185_20260328_109.xml,PH1121126:185,BLUS:PH1121126:185:35,BLUS,VJ1,14:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,27
BODS_PH1121126_185_20260328_109.xml,PH1121126:185,BLUS:PH1121126:185:35,BLUS,VJ3,09:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,29
BODS_PH1121126_185_20260328_109.xml,PH1121126:185,BLUS:PH1121126:185:635,BLUS,VJ2,15:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,25
BODS_PH1121126_185_20260328_109.xml,PH1121126:185,BLUS:PH1121126:185:635,BLUS,VJ4,07:55:00,Monday|Tuesday|Wednesday|Thursday|Friday,26
BODS_PH1121126_185_20260718_112.xml,PH1121126:185,BLUS:PH1121126:185:35,BLUS,VJ1,14:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,27
BODS_PH1121126_185_20260718_112.xml,PH1121126:185,BLUS:PH1121126:185:35,BLUS,VJ3,09:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,29
BODS_PH1121126_185_20260718_112.xml,PH1121126:185,BLUS:PH1121126:185:635,BLUS,VJ2,15:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,25
BODS_PH1121126_185_20260718_112.xml,PH1121126:185,BLUS:PH1121126:185:635,BLUS,VJ4,07:55:00,Monday|Tuesday|Wednesday|Thursday|Friday,26
BODS_PH1121126_185_20260830_114.xml,PH1121126:185,BLUS:PH1121126:185:35,BLUS,VJ1,14:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,27
BODS_PH1121126_185_20260830_114.xml,PH1121126:185,BLUS:PH1121126:185:35,BLUS,VJ3,09:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,29
BODS_PH1121126_185_20260830_114.xml,PH1121126:185,BLUS:PH1121126:185:635,BLUS,VJ2,15:05:00,Monday|Tuesday|Wednesday|Thursday|Friday,25
BODS_PH1121126_185_20260830_114.xml,PH1121126:185,BLUS:PH1121126:185:635,BLUS,VJ4,07:55:00,Monday|Tuesday|Wednesday|Thursday|Friday,26
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ3,04:15:00,Monday|Tuesday|Wednesday|Thursday|Friday,26
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ189,04:47:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ190,05:17:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ213,05:37:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ191,05:57:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ192,06:12:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ211,06:22:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ210,06:32:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ209,06:42:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ207,06:52:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ206,07:02:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ205,07:12:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ195,07:22:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ139,07:32:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ140,07:42:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ141,07:52:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ142,08:02:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
BODS_PH1121126_195_20260601_117.xml,PH1121126:195,BLUS:PH1121126:195:18,BLUS,VJ143,08:12:00,Monday|Tuesday|Wednesday|Thursday|Friday,54
